Industrial ID,Industrial Bldg Name,Industrial Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
139,Loyang Industrial Estate,30 Loyang Way 508769,508769,43351.9067,39359.1425
140,Nordix,1 Woodlands Industrial Park E2 757447,757447,23577.8491,47750.3211
141,Ubi Centre,57 Ubi Avenue 1 408936,408936,34881.7406,34121.072
142,Citimac Industrial Complex,605 MacPherson Road 368239,368239,34053.6751,35109.1758
143,Heng Loong Building,61 Bukit Batok Crescent 658078,658078,19418.2782,35588.5036
144,Kapo Factory Building,80 Playfair Road 367998,367998,33911.2748,35465.1164
145,Focus One,1 Ubi View 408555,408555,35089.17,34872.9758
146,Jurong Food Hub,15 Jalan Tepong 619336,619336,15650.8856,32339.4501
147,Excalibur Centre,71 Ubi Crescent 408571,408571,35235.4712,34344.0585
148,Tannery House,37 Tannery Lane 347790,347790,32882.49,34509.9452
149,Tagore Building,6 Tagore Drive 787623,787623,27272.6904,40907.2379
150,Hola Centre,65 Ubi Crescent 408559,408559,35200.5458,34503.8474
151,Tuas Techpark,9 Tech Park Crescent 638123,638123,5467.0328,32621.0852
152,Kaki Bukit Industrial Park Building,1 Kaki Bukit Industrial Terrace 416090,416090,35813.1877,35455.9318
153,Penjuru Tech Hub,4 Penjuru Place 608782,608782,17010.7708,33132.2963
154,Golden Wall Flatted Factory,2 Jalan Rajah 329134,329134,29663.6935,34358.7294
155,K.B Warehouse Complex,55 Kaki Bukit Road 2 417865,417865,35217.4137,35754.3933
156,Asiawide Industrial Building,5 Pereira Road 368025,368025,33912.8794,35517.2503
157,The Index,0 Tuas South Avenue 3 630000,630000,,
158,Boustead House,63 Ubi Avenue 1 408937,408937,34755.3291,34080.2644
159,Cititech Industrial Building,629 Aljunied Road 389838,389838,33157.1603,34235.8359
160,Prestige Centre,71 Bukit Batok Crescent 658071,658071,19382.3664,35608.8951
161,Tuas Cove Industrial Centre,53 Tuas South Avenue 1 637606,637606,5223.8115,33353.3262
162,Yi Guang Factory Building,180 Paya Lebar Road 409032,409032,34307.4117,34785.3454
163,BizTech Centre,627A Aljunied Road 389842,389842,33102.462,34248.6253
164,Skywaves Industrial Building,30 Lorong Ampas 328783,328783,30149.2036,34330.12
165,Valiant Industrial Building,30 Kallang Pudding Road 349312,349312,32945.3061,34569.6793
166,Techniques Centre,67 Ubi Crescent 408560,408560,35210.8485,34461.44
167,Ang Mo Kio Tech II,5 Ang Mo Kio Industrial Park 567760,567760,32129.6447,40003.9746
168,Wintech Centre,6 Ubi Road 1 408726,408726,34711.7029,34295.7833
169,Elite Industrial Building II,47 Tannery Lane 347794,347794,32929.3314,34471.7832
