ID,POSTAL,X-COORDINATES,Y-COORDINATES
579,150051,25657.706,30003.2798
580,150052,25777.8346,30099.8889
581,150053,25788.8585,30139.7069
582,150054,25814.1201,30171.6316
583,150056,25858.0075,30037.1196
584,150058,25880.5695,30102.0206
585,150059,25889.1936,30134.2627
586,150061,25828.4678,30252.0634
587,150068,26075.495,29921.3013
588,150069,26114.2974,29937.2745
589,150070,26150.5497,29905.1853
590,150071,26236.8114,29970.7222
591,150072,26116.2099,29980.2326
592,150078,26349.347,30093.6651
593,150080,26382.1999,30024.7073
594,150081,26467.8811,30019.1185
595,150082,26454.8665,29982.1188
596,150083,26454.9696,29920.9567
597,150086,26370.1359,29926.6062
598,150087,26409.0965,29828.2859
599,150088,26361.5311,29807.2683
600,150089,26382.2648,29762.4454
601,150090,26379.5834,29713.7172
602,150091,26569.4914,30031.4041
603,150092,26567.1206,29979.6097
604,150093,26564.3296,29927.0994
605,150101,26698.6279,30346.5606
606,150102,26693.272,30307.6592
607,150103,26670.8573,30238.6506
608,150104,26688.9317,30197.4258
609,150105,26780.0526,30290.8531
610,150106,26770.8977,30203.7992
611,150115,25910.5182,29617.888
612,150116,25959.4355,29593.8057
613,150117,26007.0401,29565.2818
614,150118,26636.2845,29609.9844
615,150121,24839.4922,29894.49
616,150122,24759.3735,29875.6181
617,150124,24685.0256,29805.3485
618,150125,24625.7662,29817.5511
619,150127,24669.9522,29750.6442
620,150128,26888.0317,29454.0831
621,150129,26942.7989,29557.1336
622,150130,27003.02,29668.6394
623,150161,26073.2655,29594.0245
624,150164,26156.8233,29538.1242
625,150165,26149.6874,29499.3276
626,151001,26275.8331,29632.1559
627,151002,26213.1221,29648.8872
628,151003,26150.5902,29665.0695
629,151006,26179.5771,29694.1992
630,151007,26253.4807,29705.0691
631,151008,26169.0081,29727.1486
632,151009,26118.2172,29707.6759
633,151010,26082.4041,29707.1628
634,151011,26100.6628,29772.414
635,151012,26130.1165,29833.2873
636,151013,26177.7774,29760.9583
637,151014,26204.1256,29783.7317
638,151017,26258.977,29739.3595
639,151018,26276.3677,29806.2192
640,151019,26276.5513,29833.3039
641,151020,26222.4024,29908.7374
642,151021,26260.0191,29875.7143
643,151022,26293.6371,29895.382
644,151028,25418.3834,29908.5322
645,151039,25406.6093,30116.0591
646,151040,25464.3346,30116.0089
647,151047,25608.8014,29952.2
648,151048,25512.075,29966.1246
649,151055,25788.2448,29985.1877
650,151057,25866.4769,30069.3299
651,151063,26005.7625,30228.5815
652,151073,26160.6045,30039.1182
653,151074,26099.6421,30042.0198
654,151075,25992.1325,30051.9004
655,151076,26167.698,30125.2283
656,151077,26227.4057,30088.1574
657,151116,26688.277,29729.1409
658,151117,26738.3362,29635.1927
659,151119,24816.7505,29818.1313
660,151121,26829.9137,29502.4671
661,151123,26874.2189,29618.4153
662,151124,26827.3462,29701.8035
663,151125,26941.9978,29720.6307
664,151126,26952.8112,29650.7571
665,152028,25376.123,29869.4951
666,152063,25996.7366,30164.898
667,152075,26059.0976,30099.2017
668,152119,26636.6369,29539.8598
669,152120,26808.4963,29468.2016
670,152124,26862.1993,29745.4981
671,153075,26103.3074,30159.1556
672,160001,27473.0908,30496.6361
673,160003,27334.0261,30454.959
674,160005,27363.6508,30513.9082
675,160007,27301.6672,29546.7833
676,160009,28616.4798,30009.9972
677,160010,27589.0642,29864.5039
678,160020,27523.8675,30058.6786
679,160022,27500.3205,30126.9343
680,160024,27459.1251,30104.1066
681,160026,27458.6161,30064.9624
682,160027,27724.0816,29762.6169
683,160028,27430.7492,30034.8225
684,160030,27430.6735,30009.5007
685,160032,27454.3324,29982.018
686,160033,27806.1956,29727.4679
687,160034,27305.8412,30054.5168
688,160035,27745.8764,29725.5441
689,160036,27316.8673,30079.2762
690,160037,27685.6061,29723.6308
691,160038,27329.0728,30107.2671
692,160040,27352.6762,30162.8215
693,160041,27807.7257,29680.0897
694,160042,27263.9089,30163.5225
695,160043,27747.4489,29677.864
696,160044,27218.3448,30135.4896
697,160045,27809.4341,29628.7598
698,160046,27201.6115,30078.7243
699,160047,27749.0156,29626.4743
700,160048,27207.9236,30205.5408
701,160049,27688.3191,29636.8176
702,160050,27273.8421,30242.6338
703,160051,28969.4832,29980.0048
704,160052,28919.4388,29944.5958
705,160053,28906.3926,30004.3489
706,160055,28090.914,29649.4902
707,160056,28067.2745,29630.4056
708,160057,28017.5252,29692.824
709,160058,27962.2673,29672.3614
710,160059,28013.1071,29620.0802
711,160064,28041.3561,29572.1853
712,160065,27988.4184,29530.5381
713,160066,27937.8181,29582.7568
